Term, Definition;
Project work,Has a beginning and end. Has unique goals and objectives.
Operational work,Most ongoing work. Business as usual.
Upstream vs. downstream,Activities done early on are upstream. Activities done later on are downstream. Doing well upstream will provide a much easier float downstream.
Functional organizational structure,Grouped by specialization. Team members have departmental and project work.
Projectized organizational structure,Staff are moved from project to project.
Matrix organizational structure,Two bosses: a project boss and a functional boss.
The project triangle,Scope. Cost. Schedule.
Good. Fast. Cheap. Pick Two.,
Project dimensions,People. Process. Product. Technology.
Project management,"Planning, organizing, motivating, and controlling resources to achieved defined goals."
People classic mistakes,Undermined motivation. Heroics. Adding people to a late project.
Process classic mistakes,Overly optimistic schedules. Insufficient risk management. Insufficient planning.
Product classic mistakes,Requirements gold-plating. Feature creep. Developer gold-plating.
Technology classic mistakes,Silver-bullet syndrome (wanting to try new technology). Switching tools in the middle of a project. Overestimated savings from new technologies.
Purpose of the four pillars,To achieve the best possible schedule.
Four pillars,Avoid classic mistakes. Apply development fundamentals. Manage risk. Apply schedule-oriented practices.
Thrashing vs. process,"If process is injected early, there will be less thrashing and more productive work."
Cone of uncertainty,Beginning of project: -50% to +100%. End of project: +25% to +50%.
Individual needs,"Physiological, safety, social, esteem, self-actualization."
Team needs,"Trust, managed conflict, commitment, accountability, results."
How to achieve commitment,Buy-in to everything.
How to keep track of accountability,Use a RA(S)CI chart.
What does RA(S)CI stand for,"Responsible, accountable, support, consulted, informed."
Tuckman's model,"Forming, storming, norming, performing."
Conflict resolution techniques,"Confronting, compromising, withdrawal, smoothing."
What is a risk?,A problem that has not happened yet.
Two processes that make up risk management,Risk assessment and risk control.
What makes up risk assessment,"Identification, analysis, prioritization."
What makes up risk control,"Planning, resolution, monitoring."
Risk Exposure,Probability * Impact
Who invented PSP/TSP,Watts Humphrey
7 steps of TSP,"Launch, strategy, plan, requirements, design, implementation, test, postmortem."
What does each cycle of TSP produce?,A testable version that is a subset of the final project.
Phases of RUP,"Inception, elaboration, construction, transition."
Blowhard Jamboree,One team member is vocal about his misinformed opinions and these become treated as facts.
Analysis Paralysis,Problem broken down too far. Leads to micromanagement.
Avalanche Model,All steps in the process model are going on at the same time.
Loose Cannon / Corncob,One team member who is particularly destructive.
Intellectual Violence,A know-it-all.
Fire drill,Project moving slowly and unrealistic deadline is set.
Blame storming,Everybody blames each other.
Death march,Everybody knows the project is going to fail except the man in charge.
Groupthink,Nobody is questioning what the group is doing.
Benefits of code and fix,No overhead. Requires very little expertise.
Disadvantages of code and fix,No means of assessing progress or quality.
What is spiral?,Risk-oriented lifecycle model that breaks software up into miniprojects. Each miniproject addresses one or more major risks until all major risks have been addressed.
Benefits of spiral,"As costs increase, risks decrease."
Disadvantages of spiral,It is complicated. Difficult to define verifiable milestones.
What is evolutionary prototyping?,Lifecycle model in which you develop the system concept as you move through the project.
